"","name","key","decimalLatitude","decimalLongitude","issues","datasetKey","publishingOrgKey","networkKeys","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","extensions","basisOfRecord","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","scientificName","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","dateIdentified","elevation","elevationAccuracy","stateProvince.original","year","month","day","eventDate","modified","lastInterpreted","license","identifiers","facts","relations","geodeticDatum","class","countryCode","country.original","rightsHolder","identifier","recordNumber","datasetName","municipality.original","language","collectionCode","gbifID","occurrenceID","type","recordedBy","catalogNumber","institutionCode","ownerInstitutionCode","occurrenceRemarks","identifiedBy","locality","continent","otherCatalogNumbers","references","institutionID","nomenclaturalCode","verbatimEventDate","endDayOfYear","county","preparations","startDayOfYear","verbatimElevation","collectionID","higherGeography","fieldNumber","verbatimLocality","identificationID","coordinateUncertaintyInMeters","habitat","georeferenceProtocol","georeferenceSources","occurrenceStatus","vernacularName","taxonConceptID","establishmentMeans","individualCount","georeferencedDate","identificationRemarks","typeStatus","organismID","datasetID","accessRights","higherClassification","municipality","stateProvince","country","FID","NOME","GEOCODIGO","POINT_X","POINT_Y","NOMEUF","SIGLAUF","estados_shp","x_estado","y_estado","nome","sigla","new_Lat","new_Lon","notes","comments"
"1","Cassia leptophylla",1840922197,-24.367778,-51.950278,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:28.941+0000","2018-10-24T15:38:19.883+0000",121,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2018-02-16T00:00:00",633,0,"Paraná",2018,1,31,"2018-01-31T00:00:00","2018-10-11T17:20:05.000+0000","2018-12-08T19:50:35.112+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000057570","7984","FURB - Herbário Dr. Roberto Miguel Klein","Nova Tebas","pt","FURB",1840922197,"BRA:FURB:FURB:0000057570","Collection","Caxambu, M.G.; Siqueira, E.L.; Zubek, H.; Brito, L.F.","57570","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","Frutos imaturos verdes com cerca de 45cm. Final de floração. Relevo ondulado","Caxambu, M.G.","","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Nova Tebas","Paraná","brazil",983,"Nova Tebas",4117271,-51.94442,-24.459436,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.367778,-51.950278,"original coordinates","original coordinates OK"
"2","Cassia leptophylla",1829089102,-24.36775,-51.958639,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:17.793+0000","2018-11-24T12:32:17.842+0000",118,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2018-02-16T00:00:00",633,0,"Paraná",2018,1,31,"2018-01-31T00:00:00","","2018-11-24T12:32:30.310+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000024922","7984","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Nova Tebas","pt","HCF",1829089102,"BRA:UTFPR:HCF:0000024922","Collection","M.G. Caxambu","24922","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore ca. 10 m, heliófita. Frutos imaturos verdes com cerca de 45 cm. Final de floração. Orla de fragmento.","M.G. Caxambu","Estação Ecológica Municipal Reinaldo","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Nova Tebas","Paraná","brazil",983,"Nova Tebas",4117271,-51.94442,-24.459436,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.36775,-51.958639,"original coordinates","original coordinates OK"
"3","Cassia leptophylla",1840928977,-25.4483,-49.2319,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:24.629+0000","2018-11-24T12:35:24.647+0000",123,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2018-03-21T00:00:00",924,0,"Paraná",2018,3,21,"2018-03-21T00:00:00","2018-11-19T18:52:45.000+0000","2018-12-08T19:50:39.233+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000016429","263","EFC - Herbário Escola de Florestas Curitiba","Curitiba","pt","EFC",1840928977,"BRA:UFPR:EFC:0000016429","Collection","Dall Agnol, R.T.","16429","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Árvore 7 m, legumes lenhosos, achatados e angulosos. Cultivada __COMMOM_NAME__: Falso-barbatimão","Dall Agnol, R.T.","UFPR Campus Politécnico","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Curitiba","Paraná","brazil",875,"Curitiba",4106902,-49.288236,-25.478163,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.4483,-49.2319,"original coordinates","original coordinates OK"
"4","Cassia leptophylla",1840928984,-25.4445,-49.2369,"gass84","767bddaa-9e6a-4eb1-bd12-f94a2b39a7d6","f6e2efc9-42a3-47ea-99c6-3eda8d653cc9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:35:24.597+0000","2018-11-24T12:35:24.605+0000",123,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2018-03-22T00:00:00",930,0,"Paraná",2018,3,22,"2018-03-22T00:00:00","2018-11-19T18:52:45.000+0000","2018-12-08T19:50:39.284+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","EFC - Herbário Escola de Florestas Curitiba","BRA:UFPR:EFC:0000016431","264","EFC - Herbário Escola de Florestas Curitiba","Curitiba","pt","EFC",1840928984,"BRA:UFPR:EFC:0000016431","Collection","Dall Agnol, R.T.","16431","Universidade Federal do Paraná, UFPR","Universidade Federal do Paraná, UFPR","Árvore 9 m, racemos terminais, flores amareladas. Cultivada __COMMOM_NAME__: Falso-barbatimão","Dall Agnol, R.T.","Fundação Ecumênica de proteção ao excepcional","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Curitiba","Paraná","brazil",875,"Curitiba",4106902,-49.288236,-25.478163,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-25.4445,-49.2369,"original coordinates","original coordinates OK"
"5","Cassia leptophylla",1840925111,-21.766306,-48.173083,"cdround,gass84","1064b787-c882-493e-b17d-4ffba363b776","c47cd3b0-2178-4a4b-87a6-740b482970a9","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:20:32.157+0000","2018-07-04T12:05:12.825+0000",129,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2017-11-28T00:00:00",NA,NA,"São Paulo",2017,10,5,"2017-10-05T00:00:00","2018-06-15T17:02:38.000+0000","2018-12-08T19:50:36.935+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","IAC - Herbário do Instituto Agronômico de Campinas","BRA:IAC:IAC:0000056582","s/nº","IAC - Herbário do Instituto Agronômico de Campinas","Araraquara","pt","IAC",1840925111,"BRA:IAC:IAC:0000056582","Collection","A.C.Q. Silva & J.A.Teixeira","56582","IAC","Instituto Agronômico de Campinas, IAC","Coordenadas do material: 21°45#?#58,7""S, 48°10#?#23,1""W","N.A.G. Escobar & J.Y. Tamashiro","Avenida Napoleão Selmi Dei com a Avenida Doutor Agostinho Tucci","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Araraquara","São Paulo","brazil",1780,"Araraquara",3503208,-48.181075,-21.791286,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-21.766306,-48.173083,"original coordinates","original coordinates OK"
"6","Cassia leptophylla",1802964179,-29.794963,-51.154938,"gass84","fe8c1017-5941-4703-8f81-5023028a32ab","94a9c3b2-d54d-4938-811b-e91e091eeb28","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-14T17:16:50.795+0000","2018-10-11T11:56:24.100+0000",123,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2015-08-12T00:00:00",40,0,"Rio Grande do Sul",2015,1,20,"2015-01-20T00:00:00","2018-09-28T11:48:30.000+0000","2018-12-08T07:13:36.377+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","PACA-AGP - Herbarium Anchieta","BRA:IAP:PACA-AGP:0000115605","","PACA-AGP - Herbarium Anchieta","São Leopoldo","pt","PACA-AGP",1802964179,"BRA:IAP:PACA-AGP:0000115605","Collection","Silveira, L.","115605","IAP","Instituto Anchietano de Pesquisas (IAP)","JBU 96274; caule sem látex; folhas compostas com face adaxial e abaxial glabra. Habitat: ambiente antropizado Hábito: arbórea","Nardino, M","Câmpus UNISINOS, Centro Administrativo, frente Herval","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","São Leopoldo","Rio Grande do Sul","brazil",93,"São Leopoldo",4318705,-51.145249,-29.755286,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-29.794963,-51.154938,"original coordinates","original coordinates OK"
"7","Cassia leptophylla",1077426105,-26.731667,-50.131944,"cdround,gass84","b9a43c60-d2b6-445c-9362-2db65465c963","34e6e625-47cf-4d42-8054-af0c2f1b6e64","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T15:39:21.537+0000","2018-10-24T15:38:16.071+0000",121,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2015-03-21T00:00:00",790,0,"Santa Catarina",2015,3,21,"2015-03-21T00:00:00","2018-10-11T17:20:05.000+0000","2018-12-06T14:18:07.824+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","FURB - Herbário Dr. Roberto Miguel Klein","BRA:FURB:FURB:0000047033","2069","FURB - Herbário Dr. Roberto Miguel Klein","Papanduva","pt","FURB",1077426105,"BRA:FURB:FURB:0000047033","Collection","Oliveira, A.A. de","47033","Universidade Regional de Blumenau, FURB","Universidade Regional de Blumenau, FURB","","Oliveira, AA de","São João do Mirador.","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Papanduva","Santa Catarina","brazil",758,"Papanduva",4212205,-50.171918,-26.501911,"SANTA CATARINA","SC","Santa Catarina",-50.48226937,-27.24592878,"Santa Catarina","sc",-26.731667,-50.131944,"original coordinates","original coordinates OK"
"8","Cassia leptophylla",1095182593,-24.427528,-52.844194,"gass84","dd31ac22-63d4-4bb4-a987-5eece5ffadb8","042a7696-696b-492b-ad3e-4076807eaeed","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:32:10.069+0000","2018-11-24T12:32:10.155+0000",118,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2015-05-15T00:00:00",517,0,"Paraná",2015,4,10,"2015-04-10T00:00:00","","2018-11-24T12:32:20.349+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","BRA:UTFPR:HCF:0000016684","1443","HCF - Herbário da Universidade Tecnológica Federal do Paraná Campus Campo Mourão","Juranda","pt","HCF",1095182593,"BRA:UTFPR:HCF:0000016684","Collection","E.L. Siqueira","16684","Universidade Tecnológica Federal do Paraná (UTFPR)","Universidade Tecnológica Federal do Paraná (UTFPR)","árvore ca. 10 m. Frutos ca. 0,45 m, de cor castanha.","M.G. Caxambu","Chácara São Jorge - Propriedade do Sr.","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Juranda","Paraná","brazil",993,"Juranda",4112959,-52.836027,-24.397624,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.427528,-52.844194,"original coordinates","original coordinates OK"
"9","Cassia leptophylla",1095353542,-29.365278,-49.877222,"gass84","2273e40d-26c2-4959-aea2-b6abcce16d09","04481953-6112-489f-bb8d-9703d787e3ea","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T13:50:21.130+0000","2018-12-03T15:52:54.013+0000",122,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","none",15,0,"Rio Grande do Sul",2014,1,19,"2014-01-19T00:00:00","2018-11-14T19:01:49.000+0000","2018-12-03T15:54:06.799+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","ICN - Herbário do Instituto de Ciências Naturais","BRA:UFRGS:ICN:0000171990","s.n.","ICN - Herbário do Instituto de Ciências Naturais","Dom Pedro de Alcântara","pt","ICN",1095353542,"BRA:UFRGS:ICN:0000171990","Collection","Molz, M; Grings, M; Seger, G","171990","UFRGS","Universidade Federal do Rio Grande do Sul (UFRGS)","WGS-84","Molz, M","","SOUTH_AMERICA","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Dom Pedro de Alcântara","Rio Grande do Sul","brazil",186,"Dom Pedro de Alcântara",4306551,-49.85538,-29.367481,"RIO GRANDE DO SUL","RS","Rio Grande do Sul",-53.24495754,-29.78635099,"Rio Grande do Sul","rs",-29.365278,-49.877222,"original coordinates","original coordinates OK"
"10","Cassia leptophylla",1090892817,-6.206667,-57.824444,"gass84","86aea6d0-e340-4745-a596-3fc20f90a021","eae63642-6f0d-45b9-a079-6ecd34406631","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-23T18:22:28.485+0000","2018-11-23T18:22:28.512+0000",122,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","none",NA,NA,"Pará",2012,8,NA,"2012-08-01T00:00:00","2018-11-01T18:57:26.000+0000","2018-12-09T06:15:04.603+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MAR - Herbário do Maranhão","BRA:UFMA:MAR:0000005755","915","MAR - Herbário do Maranhão","Jacareacanga","pt","MAR",1090892817,"BRA:UFMA:MAR:0000005755","Collection","Lucas, F.C.A","5755","UFMA","Universidade Federal do Maranhão (UFMA)","Árvore de 7m de altura com inflorescência amarela.","Silva, C. A. S da","Reserva Crapuri","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Jacareacanga","Pará","brazil",4424,"Jacareacanga",1503754,-57.303127,-7.445992,"PARA","PA","Pará",-53.0625366,-3.972184,"Pará","pa",-6.206667,-57.824444,"original coordinates","original coordinates OK"
"11","Cassia leptophylla",1806848160,-24.26474,-48.6072,"gass84","1bb3cae3-b91f-4109-8a2d-a1f05f2d6fd3","76dbcb10-efc5-4d5f-87a5-bcd409fc92c8","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-11-24T12:30:52.197+0000","2018-09-25T14:05:49.756+0000",126,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","none",NA,NA,"São Paulo",2012,12,17,"2012-12-17T00:00:00","2018-08-21T18:31:11.000+0000","2018-12-10T04:45:37.568+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","SPF - Herbário da Universidade de São Paulo","BRA:USP:SPF:0000217134","35116","SPF - Herbário da Universidade de São Paulo","Guapiara","pt","SPF",1806848160,"BRA:USP:SPF:0000217134","Collection","Souza, VC","217134","USP","Universidade de São Paulo, USP","","Anônimo","17,7 km do centro de Guapiara em direção a Apiaí. Área antropizada.","","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Guapiara","São Paulo","brazil",1016,"Guapiara",3517604,-48.555649,-24.212246,"SAO PAULO","SP","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-24.26474,-48.6072,"original coordinates","original coordinates OK"
"12","Cassia leptophylla",1095634458,-24.111389,-50.723333,"gass84","3b8e9d83-b2d4-4a97-973c-31d98b67b1e9","ab5c0b99-5af3-4958-b03c-0b7e85481cc1","none","b38ff2b7-c8af-454e-b5af-ee760f0d5bca","BR","DWC_ARCHIVE","2018-12-03T15:24:32.483+0000","2018-06-04T19:36:07.746+0000",118,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","2011-12-09T00:00:00",635,115,"Paraná",2011,12,9,"2011-12-09T00:00:00","","2018-07-07T12:38:48.637+0000","http://creativecommons.org/licenses/by-nc/4.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","MBM - Herbário do Museu Botânico Municipal","BRA:MBM:MBM:0000389766","493","MBM - Herbário do Museu Botânico Municipal","Ortigueira","pt","MBM",1095634458,"BRA:MBM:MBM:0000389766","Collection","Bonaldi, RA","389766","MBM","Museu Botânico Municipal de Curitiba, MBM","Árvore, 8m.; Floresta Ombrófila Mista.","Selusniaki, M","UHE Mauá","SOUTH_AMERICA","","","","","",NA,"","",NA,"","","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","Ortigueira","Paraná","brazil",1029,"Ortigueira",4117305,-50.946979,-24.135193,"PARANA","PR","Paraná",-51.61693027,-24.63581955,"Paraná","pr",-24.111389,-50.723333,"original coordinates","original coordinates OK"
"13","Cassia leptophylla",1927902087,-22.6686,-47.90219,"elmms,gass84","d415c253-4d61-4459-9d25-4015b9084fb0","ae447c50-b8a8-11d8-92a4-b8a03c50a862","none","17017c2c-036b-45d9-b045-606d21b00771","US","DWC_ARCHIVE","2018-11-18T14:45:31.260+0000","2018-11-18T14:45:31.295+0000",96,"none","PRESERVED_SPECIMEN",5357169,6,7707728,220,1370,5386,2963414,5357169,5357169,"Cassia leptophylla Vogel","Cassia leptophylla Vogel","Plantae","Tracheophyta","Fabales","Fabaceae","Cassia","Cassia leptophylla","Cassia","leptophylla","SPECIES","ACCEPTED","none",313.25,313.25,"SÃ£o Paulo",2011,12,24,"2011-12-24T00:00:00","","2018-12-05T23:31:09.495+0000","http://creativecommons.org/publicdomain/zero/1.0/legalcode","none","none","none","WGS84","Magnoliopsida","BR","Brazil","The New York Botanical Garden","097356a9-eba6-4cce-bfeb-abc844dedd3e","645","Vascular plants","","en","NY",1927902087,"097356a9-eba6-4cce-bfeb-abc844dedd3e","PhysicalObject","L. Biral","02474153","NY","","","","UNESP campus Lageado, ao lado da rodovia que corta o campus","SOUTH_AMERICA","","http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685569","http://biocol.org/urn:lsid:biocol.org:col:15556","ICN","24 Dec 2011",358,"Botucatu","sheet",358,"2055 ft","http://biocol.org/urn:lsid:biocol.org:col:15556","",NA,NA,NA,NA,"","","",NA,NA,NA,"",NA,"",NA,"",NA,"","","","","SÃ£o Paulo","brazil",NA,"",NA,NA,NA,"","","São Paulo",-48.72944932,-22.26440593,"São Paulo","sp",-22.6686,-47.90219,"original coordinates","original coordinates outside municipality original in  falls in piracicaba"
